CIK,FiscalYearEnd,COVID-19,SupplyChain,Furlough,Benefit Cut,InternationalSupplyChain,ComboParagraph,FFI49,FFI30,FFI12
104889,"December 31, 2020",51,1,1,27,0,138,33,22,12
104894,"December 31, 2020",35,0,0,15,0,21,48,29,11
104918,"December 31, 2020",31,3,0,19,1,40,31,20,8
105016,31-Dec-20,0,0,0,0,0,0,42,26,9
105132,31-Aug,39,6,0,19,2,110,14,9,5
105319,2-Jan-21,41,0,0,11,0,90,33,22,9
105418,December 26,4,3,0,6,0,6,43,27,9
105634,31-Dec-20,32,0,2,24,0,18,18,11,12
105744,NONE,0,0,0,1,0,9,47,29,11
105770,31-Dec-20,9,4,0,13,0,143,15,30,3
106040,3-Jul-20,18,7,0,20,2,80,35,23,6
106532,"December 31, 2020",21,2,0,7,1,20,42,26,9
106535,"DECEMBER 31, 2020",10,6,0,18,1,69,17,11,12
106640,31-Dec-20,30,5,1,32,2,141,9,6,2
107140,30-Apr-20,8,0,0,1,0,0,8,5,1
107263,31-Dec-20,13,1,0,8,1,41,31,20,8
107687,"August 29, 2020",35,7,1,22,0,54,23,15,3
108312,30-Sep-20,60,10,5,30,6,178,22,14,3
108385,31-Mar-20,23,0,0,8,0,21,45,29,11
108516,31-May-20,40,3,2,17,2,94,19,12,3
109177,"September 30, 2020",30,9,0,29,4,85,17,11,3
109380,"December 31, 2020",32,0,0,14,0,32,45,29,11
109563,30-Jun-20,8,7,2,7,1,18,42,26,9
110471,1/2/2021,34,2,1,16,2,107,10,7,1
110621,31-May-20,0,6,0,16,4,104,14,9,5
200406,3-Jan-21,46,14,0,19,11,198,13,8,10
202058,1-Jan-21,2,9,0,14,6,245,37,23,6
203527,2-Oct-20,59,6,0,14,3,192,12,8,10
203596,"December 31, 2020",35,0,0,13,0,21,45,29,11
215466,31-Dec-20,29,0,0,3,0,29,27,17,12
216085,31-Dec-20,2,0,0,0,0,0,43,27,9
216228,"December 31, 2020",41,13,0,18,7,152,21,13,3
217346,"January 2, 2021",20,3,3,25,2,93,24,16,3
225211,NONE,2,0,0,2,0,0,36,22,6
225648,31-Dec-20,28,2,2,20,1,78,49,30,12
230557,31-Dec-20,87,2,0,19,0,52,46,29,11
275053,31-Dec-20,16,4,0,7,1,52,13,8,10
